timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,,,
1.76336E+12,26,/roller/roller-ui/menu.rol-348-0,302,Found,User1 2-5,,TRUE,,170,489,8,8,http://172.26.129.146:8080/roller/roller-ui/menu.rol,26,0,0,,,,,,
1.76336E+12,12,/roller/roller-ui/menu.rol-348-1,200,OK,User1 2-5,text,TRUE,,6114,490,8,8,http://172.26.129.146:8080/roller/roller-ui/login.rol,12,0,0,,,,,,
1.76336E+12,14,/roller/roller-ui/login-redirect.rol-363,200,OK,User1 2-1,text,TRUE,,6284,989,8,8,http://172.26.129.146:8080/roller/roller-ui/login.rol,3,0,0,,,,,,
1.76336E+12,3,/roller/roller-ui/login-redirect.rol-363-0,302,Found,User1 2-1,,TRUE,,170,499,8,8,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,3,0,0,,,,,,
1.76336E+12,11,/roller/roller-ui/login-redirect.rol-363-1,200,OK,User1 2-1,text,TRUE,,6114,490,8,8,http://172.26.129.146:8080/roller/roller-ui/login.rol,11,0,0,,,,,,
1.76336E+12,9,/roller/roller-ui/login.rol-340,200,OK,User1 2-7,text,TRUE,,6294,501,8,8,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,9,0,0,,,,,,
1.76336E+12,20,/roller/-357,200,OK,User1 2-4,text,TRUE,,6552,452,8,8,http://172.26.129.146:8080/roller/,20,0,0,,,,,,
1.76336E+12,22,/roller/roller_j_security_check-338,200,OK,User1 2-6,text,TRUE,,6553,1221,8,8,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,9,0,0,,,,,,
1.76336E+12,9,/roller/roller_j_security_check-338-0,302,Found,User1 2-6,,TRUE,,259,637,8,8,http://172.26.129.146:8080/roller/roller_j_security_check,9,0,0,,,,,,
1.76336E+12,12,/roller/roller_j_security_check-338-1,200,OK,User1 2-6,text,TRUE,,6294,584,8,8,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,12,0,0,,,,,,
1.76336E+12,9,/roller/roller-ui/login.rol-340,200,OK,User1 2-6,text,TRUE,,6294,501,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,9,0,0,,,,,,
1.76336E+12,14,/roller/roller-ui/menu.rol-343,200,OK,User1 2-7,text,TRUE,,6284,1001,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol,5,0,0,,,,,,
1.76336E+12,5,/roller/roller-ui/menu.rol-343-0,302,Found,User1 2-7,,TRUE,,170,500,9,9,http://172.26.129.146:8080/roller/roller-ui/menu.rol,5,0,0,,,,,,
