timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,# of messages,,,47855
1.76E+12,26,/roller/roller-ui/login.rol-340,200,OK,User1 2-5,text,TRUE,,6294,501,11,11,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,26,0,0,,,,,
1.76E+12,62,/roller/-353,200,OK,User1 2-3,text,TRUE,,6552,471,11,11,http://172.26.129.146:8080/roller/,47,0,0,,,,,
1.76E+12,62,/roller/-332,200,OK,User1 2-10,text,TRUE,,7249,356,11,11,http://172.26.129.146:8080/roller/,62,0,19,,,,,
1.76E+12,44,/roller/roller-ui/menu.rol-343,200,OK,User1 2-6,text,TRUE,,6284,1001,11,11,http://172.26.129.146:8080/roller/roller-ui/login.rol,27,0,0,,,,,
1.76E+12,27,/roller/roller-ui/menu.rol-343-0,302,Found,User1 2-6,,TRUE,,170,500,11,11,http://172.26.129.146:8080/roller/roller-ui/menu.rol,27,0,0,,,,,
1.76E+12,17,/roller/roller-ui/menu.rol-343-1,200,OK,User1 2-6,text,TRUE,,6114,501,11,11,http://172.26.129.146:8080/roller/roller-ui/login.rol,16,0,0,,,,,
1.76E+12,64,/roller/roller-ui/register.rol-411,200,OK,User1 2-2,text,TRUE,,56617,474,11,11,http://172.26.129.146:8080/roller/roller-ui/register.rol,20,0,0,,,,,
1.76E+12,78,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-9,text,TRUE,,6284,951,11,11,http://172.26.129.146:8080/roller/roller-ui/login.rol,62,0,0,,,,,
1.76E+12,62,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-9,,TRUE,,170,480,11,11,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,62,0,0,,,,,
1.76E+12,16,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-9,text,TRUE,,6114,471,11,11,http://172.26.129.146:8080/roller/roller-ui/login.rol,15,0,0,,,,,
1.76E+12,31,/roller/roller-ui/menu.rol-348,200,OK,User1 2-7,text,TRUE,,6284,979,11,11,http://172.26.129.146:8080/roller/roller-ui/login.rol,17,0,0,,,,,
1.76E+12,17,/roller/roller-ui/menu.rol-348-0,302,Found,User1 2-7,,TRUE,,170,489,11,11,http://172.26.129.146:8080/roller/roller-ui/menu.rol,17,0,0,,,,,
1.76E+12,14,/roller/roller-ui/menu.rol-348-1,200,OK,User1 2-7,text,TRUE,,6114,490,11,11,http://172.26.129.146:8080/roller/roller-ui/login.rol,14,0,0,,,,,
1.76E+12,47,/roller/roller-ui/menu.rol-348,200,OK,User1 2-4,text,TRUE,,6284,979,11,11,http://172.26.129.146:8080/roller/roller-ui/login.rol,31,0,0,,,,,
1.76E+12,31,/roller/roller-ui/menu.rol-348-0,302,Found,User1 2-4,,TRUE,,170,489,11,11,http://172.26.129.146:8080/roller/roller-ui/menu.rol,31,0,0,,,,,
1.76E+12,15,/roller/roller-ui/menu.rol-348-1,200,OK,User1 2-4,text,TRUE,,6114,490,11,11,http://172.26.129.146:8080/roller/roller-ui/login.rol,15,0,0,,,,,
1.76E+12,37,/roller/roller-ui/menu.rol-343,200,OK,User1 2-5,text,TRUE,,6284,1001,11,11,http://172.26.129.146:8080/roller/roller-ui/login.rol,17,0,0,,,,,
1.76E+12,17,/roller/roller-ui/menu.rol-343-0,302,Found,User1 2-5,,TRUE,,170,500,11,11,http://172.26.129.146:8080/roller/roller-ui/menu.rol,17,0,0,,,,,
1.76E+12,20,/roller/roller-ui/menu.rol-343-1,200,OK,User1 2-5,text,TRUE,,6114,501,11,11,http://172.26.129.146:8080/roller/roller-ui/login.rol,20,0,0,,,,,
1.76E+12,84,/roller/roller_j_security_check-338,200,OK,User1 2-8,text,TRUE,,6553,1221,11,11,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,62,0,0,,,,,
1.76E+12,62,/roller/roller_j_security_check-338-0,302,Found,User1 2-8,,TRUE,,259,637,11,11,http://172.26.129.146:8080/roller/roller_j_security_check,62,0,0,,,,,
1.76E+12,21,/roller/roller_j_security_check-338-1,200,OK,User1 2-8,text,TRUE,,6294,584,11,11,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,21,0,0,,,,,
1.76E+12,6,/roller/roller-ui/login.rol-340,200,OK,User1 2-8,text,TRUE,,6294,501,12,12,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,6,0,0,,,,,
1.76E+12,59,/roller/-332,200,OK,User1 2-11,text,TRUE,,7249,356,12,12,http://172.26.129.146:8080/roller/,59,0,28,,,,,
1.76E+12,34,/roller/-357,200,OK,User1 2-3,text,TRUE,,6552,452,12,12,http://172.26.129.146:8080/roller/,34,0,0,,,,,
1.76E+12,12,/roller/roller-ui/menu.rol-348,200,OK,User1 2-5,text,TRUE,,6284,979,12,12,http://172.26.129.146:8080/roller/roller-ui/login.rol,3,0,0,,,,,
1.76E+12,3,/roller/roller-ui/menu.rol-348-0,302,Found,User1 2-5,,TRUE,,170,489,12,12,http://172.26.129.146:8080/roller/roller-ui/menu.rol,3,0,0,,,,,
1.76E+12,9,/roller/roller-ui/menu.rol-348-1,200,OK,User1 2-5,text,TRUE,,6114,490,12,12,http://172.26.129.146:8080/roller/roller-ui/login.rol,9,0,0,,,,,
1.76E+12,36,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-10,text,TRUE,,6284,951,12,13,http://172.26.129.146:8080/roller/roller-ui/login.rol,14,0,0,,,,,
1.76E+12,14,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-10,,TRUE,,170,480,12,13,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,14,0,0,,,,,
1.76E+12,22,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-10,text,TRUE,,6114,471,12,13,http://172.26.129.146:8080/roller/roller-ui/login.rol,22,0,0,,,,,
1.76E+12,37,/roller/roller-ui/menu.rol-348,200,OK,User1 2-6,text,TRUE,,6284,979,12,13,http://172.26.129.146:8080/roller/roller-ui/login.rol,14,0,0,,,,,
1.76E+12,14,/roller/roller-ui/menu.rol-348-0,302,Found,User1 2-6,,TRUE,,170,489,12,13,http://172.26.129.146:8080/roller/roller-ui/menu.rol,14,0,0,,,,,
1.76E+12,23,/roller/roller-ui/menu.rol-348-1,200,OK,User1 2-6,text,TRUE,,6114,490,12,13,http://172.26.129.146:8080/roller/roller-ui/login.rol,22,0,0,,,,,
1.76E+12,16,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-11,text,TRUE,,6284,951,12,13,http://172.26.129.146:8080/roller/roller-ui/login.rol,4,0,0,,,,,
1.76E+12,4,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-11,,TRUE,,170,480,12,13,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,4,0,0,,,,,
1.76E+12,12,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-11,text,TRUE,,6114,471,12,13,http://172.26.129.146:8080/roller/roller-ui/login.rol,12,0,0,,,,,
1.76E+12,16,/roller/roller-ui/menu.rol-358,200,OK,User1 2-3,text,TRUE,,6284,941,12,13,http://172.26.129.146:8080/roller/roller-ui/login.rol,9,0,0,,,,,
1.76E+12,9,/roller/roller-ui/menu.rol-358-0,302,Found,User1 2-3,,TRUE,,170,470,12,13,http://172.26.129.146:8080/roller/roller-ui/menu.rol,9,0,0,,,,,
1.76E+12,7,/roller/roller-ui/menu.rol-358-1,200,OK,User1 2-3,text,TRUE,,6114,471,12,13,http://172.26.129.146:8080/roller/roller-ui/login.rol,6,0,0,,,,,
1.76E+12,21,/roller/roller-ui/menu.rol-343,200,OK,User1 2-8,text,TRUE,,6284,1001,12,13,http://172.26.129.146:8080/roller/roller-ui/login.rol,12,0,0,,,,,
1.76E+12,12,/roller/roller-ui/menu.rol-343-0,302,Found,User1 2-8,,TRUE,,170,500,12,13,http://172.26.129.146:8080/roller/roller-ui/menu.rol,12,0,0,,,,,
