timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,
1.76336E+12,39,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-14,,TRUE,,170,480,25,38,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,39,0,0,,,,
1.76336E+12,91,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-14,text,TRUE,,6013,471,25,38,http://172.26.129.146:8080/roller/roller-ui/login.rol,90,0,0,,,,
1.76336E+12,105,/roller/roller-ui/menu.rol-348,200,OK,User1 2-1,text,TRUE,,6183,979,25,39,http://172.26.129.146:8080/roller/roller-ui/login.rol,46,0,0,,,,
1.76336E+12,46,/roller/roller-ui/menu.rol-348-0,302,Found,User1 2-1,,TRUE,,170,489,25,39,http://172.26.129.146:8080/roller/roller-ui/menu.rol,46,0,0,,,,
1.76336E+12,60,/roller/roller-ui/menu.rol-348-1,200,OK,User1 2-1,text,TRUE,,6013,490,25,39,http://172.26.129.146:8080/roller/roller-ui/login.rol,60,0,0,,,,
1.76336E+12,537,/roller/-332,200,OK,User1 2-18,text,TRUE,,7104,356,28,45,http://172.26.129.146:8080/roller/,537,0,5,,,,
1.76336E+12,195,/roller/roller-ui/menu.rol-348,200,OK,User1 2-4,text,TRUE,,6183,979,28,45,http://172.26.129.146:8080/roller/roller-ui/login.rol,43,0,0,,,,
1.76336E+12,43,/roller/roller-ui/menu.rol-348-0,302,Found,User1 2-4,,TRUE,,170,489,28,45,http://172.26.129.146:8080/roller/roller-ui/menu.rol,43,0,0,,,,
1.76336E+12,152,/roller/roller-ui/menu.rol-348-1,200,OK,User1 2-4,text,TRUE,,6013,490,28,45,http://172.26.129.146:8080/roller/roller-ui/login.rol,152,0,0,,,,
1.76336E+12,454,/roller/-627,200,OK,User2 3-9,text,TRUE,,7104,418,18,47,http://172.26.129.146:8080/roller/,454,0,16,,,,
1.76336E+12,714,/roller/-627,200,OK,User2 3-4,text,TRUE,,7104,418,18,47,http://172.26.129.146:8080/roller/,713,0,46,,,,
1.76336E+12,747,/roller/-332,200,OK,User1 2-15,text,TRUE,,7104,356,29,47,http://172.26.129.146:8080/roller/,747,0,2,,,,
1.76336E+12,225,/roller/-627,200,OK,User2 3-14,text,TRUE,,7104,418,18,48,http://172.26.129.146:8080/roller/,225,0,2,,,,
1.76336E+12,425,/roller/-627,200,OK,User2 3-10,text,TRUE,,7104,418,18,48,http://172.26.129.146:8080/roller/,425,0,2,,,,
1.76336E+12,452,/roller/-332,200,OK,User1 2-21,text,TRUE,,7104,356,30,48,http://172.26.129.146:8080/roller/,452,0,4,,,,
1.76336E+12,275,/roller/roller-ui/menu.rol-343,200,OK,User1 2-6,text,TRUE,,6183,1001,30,48,http://172.26.129.146:8080/roller/roller-ui/login.rol,10,0,0,,,,
1.76336E+12,10,/roller/roller-ui/menu.rol-343-0,302,Found,User1 2-6,,TRUE,,170,500,30,48,http://172.26.129.146:8080/roller/roller-ui/menu.rol,10,0,0,,,,
1.76336E+12,265,/roller/roller-ui/menu.rol-343-1,200,OK,User1 2-6,text,TRUE,,6013,501,30,48,http://172.26.129.146:8080/roller/roller-ui/login.rol,265,0,0,,,,
1.76336E+12,693,/roller/-627,200,OK,User2 3-5,text,TRUE,,7104,418,18,48,http://172.26.129.146:8080/roller/,693,0,3,,,,
1.76336E+12,230,/roller/-353,200,OK,User1 2-1,text,TRUE,,6451,471,30,49,http://172.26.129.146:8080/roller/,230,0,0,,,,
1.76336E+12,380,/roller/roller-ui/register.rol-628,200,OK,User2 3-2,text,TRUE,,3800,474,19,49,http://172.26.129.146:8080/roller/roller-ui/register.rol,380,0,0,,,,
1.76336E+12,435,/roller/-332,200,OK,User1 2-22,text,TRUE,,7104,356,30,49,http://172.26.129.146:8080/roller/,435,0,3,,,,
1.76336E+12,364,/roller/-627,200,OK,User2 3-12,text,TRUE,,7104,418,19,49,http://172.26.129.146:8080/roller/,364,0,3,,,,
1.76336E+12,417,/roller/roller-ui/register.rol-628,200,OK,User2 3-3,text,TRUE,,3800,474,19,50,http://172.26.129.146:8080/roller/roller-ui/register.rol,417,0,0,,,,
1.76336E+12,589,/roller/-627,200,OK,User2 3-8,text,TRUE,,7104,418,19,50,http://172.26.129.146:8080/roller/,589,0,15,,,,
1.76336E+12,285,/roller/-332,200,OK,User1 2-26,text,TRUE,,7104,356,31,51,http://172.26.129.146:8080/roller/,285,0,11,,,,
1.76336E+12,387,/roller/roller-ui/menu.rol-348,200,OK,User1 2-2,text,TRUE,,6183,979,32,52,http://172.26.129.146:8080/roller/roller-ui/login.rol,12,0,0,,,,
1.76336E+12,12,/roller/roller-ui/menu.rol-348-0,302,Found,User1 2-2,,TRUE,,170,489,32,52,http://172.26.129.146:8080/roller/roller-ui/menu.rol,12,0,0,,,,
1.76336E+12,375,/roller/roller-ui/menu.rol-348-1,200,OK,User1 2-2,text,TRUE,,6013,490,32,52,http://172.26.129.146:8080/roller/roller-ui/login.rol,375,0,0,,,,
1.76336E+12,213,/roller/roller-ui/menu.rol-348,200,OK,User1 2-6,text,TRUE,,6183,979,34,56,http://172.26.129.146:8080/roller/roller-ui/login.rol,110,0,0,,,,
